name,party,district_info,chamber,source,official_profile_url,last_updated
Arthur Celeste,,Pangasinan–1st,house,wikipedia,NA,2026-08-25
Mark Cojuangco,,Pangasinan–2nd,house,wikipedia,NA,2026-08-25
Maria Rachel Arenas,,Pangasinan–3rd,house,wikipedia,NA,2026-08-25
Gina de Venecia,,Pangasinan–4th,house,wikipedia,NA,2026-08-25
Ramon Guico Jr.,,Pangasinan–5th,house,wikipedia,NA,2026-08-25
Marlyn Primicias-Agabas,,Pangasinan–6th,house,wikipedia,NA,2026-08-25
Eric Olivarez,,Parañaque–1st,house,wikipedia,NA,2026-08-25
Brian Yamsuan,,Parañaque–2nd,house,wikipedia,NA,2026-08-25
Antonino Calixto,,Pasay at-large,house,wikipedia,NA,2026-08-25
Roman Romulo,,Pasig at-large,house,wikipedia,NA,2026-08-25
Mark Enverga,,Quezon–1st,house,wikipedia,NA,2026-08-25
David C. Suarez,,Quezon–2nd,house,wikipedia,NA,2026-08-25
Reynante Arrogancia,,Quezon–3rd,house,wikipedia,NA,2026-08-25
Keith Micah Tan,,Quezon–4th,house,wikipedia,NA,2026-08-25
Arjo Atayde,,Quezon City–1st,house,wikipedia,NA,2026-08-25
Ralph Tulfo,,Quezon City–2nd,house,wikipedia,NA,2026-08-25
Franz Pumaren,,Quezon City–3rd,house,wikipedia,NA,2026-08-25
Bong Suntay,,Quezon City–4th,house,wikipedia,NA,2026-08-25
Patrick Michael Vargas,,Quezon City–5th,house,wikipedia,NA,2026-08-25
Marivic Co-Pilar,,Quezon City–6th,house,wikipedia,NA,2026-08-25
Midy Cua,,Quirino at-large,house,wikipedia,NA,2026-08-25
Mia Ynares,,Rizal–1st,house,wikipedia,NA,2026-08-25
Dino Tanjuatco,,Rizal–2nd,house,wikipedia,NA,2026-08-25
Jose Arturo Garcia Jr.,,Rizal–3rd,house,wikipedia,NA,2026-08-25
Dennis Hernandez,,Rizal–4th,house,wikipedia,NA,2026-08-25
Eleandro Jesus Madrona,,Romblon at-large,house,wikipedia,NA,2026-08-25
Stephen James Tan,,Samar–1st,house,wikipedia,NA,2026-08-25
Reynolds Michael Tan,,Samar–2nd,house,wikipedia,NA,2026-08-25
Arthur Robes,,San Jose del Monte at-large,house,wikipedia,NA,2026-08-25
Bel Zamora,,San Juan at-large,house,wikipedia,NA,2026-08-25
Roy Gonzales,,Santa Rosa at-large,house,wikipedia,NA,2026-08-25
Steve Solon,,Sarangani at-large,house,wikipedia,NA,2026-08-25
Zaldy Villa,,Siquijor at-large,house,wikipedia,NA,2026-08-25
Dette Escudero,,Sorsogon–1st,house,wikipedia,NA,2026-08-25
Wowo Fortes,,Sorsogon–2nd,house,wikipedia,NA,2026-08-25
Ed Lumayag,,South Cotabato–1st,house,wikipedia,NA,2026-08-25
Dinand Hernandez,,South Cotabato–2nd,house,wikipedia,NA,2026-08-25
Dibu Tuan,,South Cotabato–3rd,house,wikipedia,NA,2026-08-25
Roger Mercado,,Southern Leyte–1st,house,wikipedia,NA,2026-08-25
Christopherson Yap,,Southern Leyte–2nd,house,wikipedia,NA,2026-08-25
Ruth Sakaluran,,Sultan Kudarat–1st,house,wikipedia,NA,2026-08-25
Bella Suansing,,Sultan Kudarat–2nd,house,wikipedia,NA,2026-08-25
Samier Tan,,Sulu–1st,house,wikipedia,NA,2026-08-25
Abdulmunir Arbison,,Sulu–2nd,house,wikipedia,NA,2026-08-25
Francisco Matugas,,Surigao del Norte–1st,house,wikipedia,NA,2026-08-25
Bernadette Barbers,,Surigao del Norte–2nd,house,wikipedia,NA,2026-08-25
Romeo Momo,,Surigao del Sur–1st,house,wikipedia,NA,2026-08-25
Alexander Pimentel,,Surigao del Sur–2nd,house,wikipedia,NA,2026-08-25
Ading Cruz,,Taguig–Pateros–1st,house,wikipedia,NA,2026-08-25
Jorge Daniel Bocobo,,Taguig–Pateros–2nd,house,wikipedia,NA,2026-08-25
Jaime Cojuangco,,Tarlac–1st,house,wikipedia,NA,2026-08-25
Cristy Angeles,,Tarlac–2nd,house,wikipedia,NA,2026-08-25
Bong Rivera,,Tarlac–3rd,house,wikipedia,NA,2026-08-25
Dimszar Sali,,Tawi-Tawi at-large,house,wikipedia,NA,2026-08-25
Kenneth Gatchalian,,Valenzuela–1st,house,wikipedia,NA,2026-08-25
Gerald Galang,,Valenzuela–2nd,house,wikipedia,NA,2026-08-25
Jay Khonghun,,Zambales–1st,house,wikipedia,NA,2026-08-25
Doris Maniquiz,,Zambales–2nd,house,wikipedia,NA,2026-08-25
Kat Chua,,Zamboanga City–1st,house,wikipedia,NA,2026-08-25
Jerry Perez,,Zamboanga City–2nd,house,wikipedia,NA,2026-08-25
Pinpin Uy,,Zamboanga del Norte–1st,house,wikipedia,NA,2026-08-25
Irene Labadlabad,,Zamboanga del Norte–2nd,house,wikipedia,NA,2026-08-25
Ian Amatong,,Zamboanga del Norte–3rd,house,wikipedia,NA,2026-08-25
Joseph Yu,,Zamboanga del Sur–1st,house,wikipedia,NA,2026-08-25
Victoria Yu,,Zamboanga del Sur–2nd,house,wikipedia,NA,2026-08-25
Marlo Bancoro,,Zamboanga Sibugay–1st,house,wikipedia,NA,2026-08-25
Marly Hofer–Hasim,,Zamboanga Sibugay–2nd,house,wikipedia,NA,2026-08-25
Rodge Gutierrez,,Party-list,house,wikipedia,NA,2026-08-25
Elmer Catulpos,,Party-list,house,wikipedia,NA,2026-08-25
Iris Marie Montes,,Party-list,house,wikipedia,NA,2026-08-25
Marcelino Libanan,,Party-list,house,wikipedia,NA,2026-08-25
Jonathan Clement Abalos,,Party-list,house,wikipedia,NA,2026-08-25
Maximo Rodriguez Jr.,,Party-list,house,wikipedia,NA,2026-08-25
Manuel Frederick Ko,,Party-list,house,wikipedia,NA,2026-08-25
Robert Raymond Estrella,,Party-list,house,wikipedia,NA,2026-08-25
Antonio Tinio,,Party-list,house,wikipedia,NA,2026-08-25
Jocelyn Tulfo,,Party-list,house,wikipedia,NA,2026-08-25
Jeffrey Soriano,,Party-list,house,wikipedia,NA,2026-08-25
Nicanor Briones,,Party-list,house,wikipedia,NA,2026-08-25
Bryan Revilla,,Party-list,house,wikipedia,NA,2026-08-25
Chel Diokno,,Party-list,house,wikipedia,NA,2026-08-25
Perci Cendaña,,Party-list,house,wikipedia,NA,2026-08-25
Dadah Kiram Ismula,,Party-list,house,wikipedia,NA,2026-08-25
Alfredo Garbin,,Party-list,house,wikipedia,NA,2026-08-25
Jan Franz Chan,,Party-list,house,wikipedia,NA,2026-08-25
Sonny Lagon,,Party-list,house,wikipedia,NA,2026-08-25
Richelle Singson-Michael,,Party-list,house,wikipedia,NA,2026-08-25
Maria Cristina Lopez,,Party-list,house,wikipedia,NA,2026-08-25
Alfred delos Santos,,Party-list,house,wikipedia,NA,2026-08-25
Sergio Dagooc,,Party-list,house,wikipedia,NA,2026-08-25
Henry Oaminal Jr.,,Party-list,house,wikipedia,NA,2026-08-25
Roberto Nazal Jr.,,Party-list,house,wikipedia,NA,2026-08-25
Terry Ridon,,Party-list,house,wikipedia,NA,2026-08-25
Eddie Villanueva,,Party-list,house,wikipedia,NA,2026-08-25
Felimon Espares,,Party-list,house,wikipedia,NA,2026-08-25
Edwin Gardiola,,Party-list,house,wikipedia,NA,2026-08-25
Claudine Bautista-Lim,,Party-list,house,wikipedia,NA,2026-08-25
Brian Poe Llamanzares,,Party-list,house,wikipedia,NA,2026-08-25
Sarah Elago,,Party-list,house,wikipedia,NA,2026-08-25
Jan Rurik Padiernos,,Party-list,house,wikipedia,NA,2026-08-25
Renee Co,,Party-list,house,wikipedia,NA,2026-08-25
Caroline Tanchay,,Party-list,house,wikipedia,NA,2026-08-25
Eli San Fernando,,Party-list,house,wikipedia,NA,2026-08-25
Munir Arbison Jr.,,Party-list,house,wikipedia,NA,2026-08-25
Kenneth Paolo Tereng,,Party-list,house,wikipedia,NA,2026-08-25
Aiman Tan,,Party-list,house,wikipedia,NA,2026-08-25
Allan Ty,,Party-list,house,wikipedia,NA,2026-08-25
Ferdinand Beltran,,Party-list,house,wikipedia,NA,2026-08-25
Girlie Veloso,,Party-list,house,wikipedia,NA,2026-08-25
Leila de Lima,,Party-list,house,wikipedia,NA,2026-08-25
Maria Nina Francesca Lacson,,Party-list,house,wikipedia,NA,2026-08-25
Arthur C. Yap,,Party-list,house,wikipedia,NA,2026-08-25
Florabel Yatco,,Party-list,house,wikipedia,NA,2026-08-25
Maria Kristina Jihan Glepa,,Party-list,house,wikipedia,NA,2026-08-25
Presley de Jesus,,Party-list,house,wikipedia,NA,2026-08-25
Karl Josef Legazpi,,Party-list,house,wikipedia,NA,2026-08-25
Harold Duterte,,Party-list,house,wikipedia,NA,2026-08-25
Jernie Jett Nisay,,Party-list,house,wikipedia,NA,2026-08-25
Paolo Marcoleta,,Party-list,house,wikipedia,NA,2026-08-25
Rodolfo Ordanes,,Party-list,house,wikipedia,NA,2026-08-25
Ching Bernos,,Party-list,house,wikipedia,NA,2026-08-25
Rolando Macasaet,,Party-list,house,wikipedia,NA,2026-08-25
Arlyn Ayon,,Party-list,house,wikipedia,NA,2026-08-25
Jose Teves Jr.,,Party-list,house,wikipedia,NA,2026-08-25
Andrew Julian Romualdez,,Party-list,house,wikipedia,NA,2026-08-25
Jude Acidre,,Party-list,house,wikipedia,NA,2026-08-25
Yedda Romualdez,,Party-list,house,wikipedia,NA,2026-08-25
Johanne Monich Bautista,,Party-list,house,wikipedia,NA,2026-08-25
Raymond Mendoza,,Party-list,house,wikipedia,NA,2026-08-25
Milagros Aquino-Magsaysay,,Party-list,house,wikipedia,NA,2026-08-25
Jojo Ang,,Party-list,house,wikipedia,NA,2026-08-25
